Cases,Deaths,Recovered,Travel_history,Province
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Unknown,Baluchistan
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
8,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,1,0,Local - Social Contact,Khyber Pakhtunkhwa
10,1,0,Local - Social Contact,Khyber Pakhtunkhwa
11,0,0,Local - Social Contact,Punjab
5,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
11,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
12,0,0,Tableeghi Jamaat,Punjab
3,0,0,Tableeghi Jamaat,Punjab
100,0,0,Tableeghi Jamaat,Punjab
7,0,0,Local - Social Contact,Islamabad Capital Territory
6,3,0,Local - Social Contact,Khyber Pakhtunkhwa
30,1,0,Local - Social Contact,Punjab
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Federal Administration Tribal Area
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,1,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,12,Local - Social Contact,Sindh
10,0,0,Unknown,Baluchistan
0,0,3,Iran/Taftan,Khyber Pakhtunkhwa
3,0,0,Unknown,Azad Jummu Kashmir
0,0,5,Unknown,Gilgit-Baltistan
0,0,9,Unknown,Gilgit-Baltistan
0,0,3,Unknown,Gilgit-Baltistan
3,0,0,Local - Social Contact,Islamabad Capital Territory
4,2,0,Local - Social Contact,Khyber Pakhtunkhwa
7,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
5,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
0,0,2,Local - Social Contact,Khyber Pakhtunkhwa
4,0,4,Local - Social Contact,Khyber Pakhtunkhwa
3,0,9,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,0,1,Local - Social Contact,Federal Administration Tribal Area
0,0,1,Local - Social Contact,Federal Administration Tribal Area
41,1,0,Local - Social Contact,Sindh
2,0,0,Local - Social Contact,Azad Jummu Kashmir
6,0,13,Unknown,Baluchistan
17,0,7,Tableegi Jamaat,Gilgit-Baltistan
31,0,0,Local - Social Contact,Punjab
0,0,0,Local - Social Contact,Punjab
47,0,0,Iran/Taftan,Punjab
0,0,2,Iran/Taftan,Gilgit-Baltistan
0,0,1,Dubai,Gilgit-Baltistan
51,2,0,Local - Social Contact,Sindh
0,0,130,Iran/Taftan,Sindh
3,0,31,Local - Social Contact,Baluchistan
20,3,0,Local - Social Contact,Punjab
77,0,0,Jail,Punjab
1,0,0,Local - Social Contact,Gilgit-Baltistan
0,0,11,Local - Social Contact,Gilgit-Baltistan
1,0,0,Local - Social Contact,Azad Jummu Kashmir
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
4,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Iran/Taftan,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
6,0,1,Local - Social Contact,Khyber Pakhtunkhwa
14,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
15,0,1,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
9,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
24,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,1,Local - Social Contact,Khyber Pakhtunkhwa
7,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Federal Administration Tribal Area
1,1,0,Local - Social Contact,Islamabad Capital Territory
0,0,0,Tableeghi Jamaat,Punjab
54,1,16,Local - Social Contact,Sindh
11,0,27,Local - Social Contact,Sindh
12,0,3,Local - Social Contact,Baluchistan
0,0,28,Local - Social Contact,Gilgit-Baltistan
1,0,2,Local - Social Contact,Gilgit-Baltistan
0,0,1,Iran/Taftan,Khyber Pakhtunkhwa
7,1,4,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Federal Administration Tribal Area
0,0,1,Local - Social Contact,Federal Administration Tribal Area
3,0,0,Local - Social Contact,Khyber Pakhtunkhwa
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
3,0,0,Local - Social Contact,Azad Jummu Kashmir
49,2,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
3,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
15,0,0,Local - Social Contact,Punjab
8,0,0,Local - Social Contact,Punjab
12,0,0,Local - Social Contact,Punjab
7,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
7,0,0,Local - Social Contact,Punjab
4,0,0,Local - Social Contact,Punjab
0,0,2,Local - Social Contact,Punjab
0,0,4,Local - Social Contact,Punjab
17,0,0,Local - Social Contact,Punjab
6,0,0,Local - Social Contact,Punjab
13,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
0,0,6,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
8,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
2,0,0,Local - Social Contact,Punjab
50,1,1,Local - Social Contact,Sindh
6,0,0,Local - Social Contact,Sindh
2,0,0,Local - Social Contact,Sindh
1,0,0,Local - Social Contact,Sindh
7,0,0,Local - Social Contact,Sindh
4,0,0,Local - Social Contact,Sindh
1,0,0,Local - Social Contact,Sindh
1,0,0,Local - Social Contact,Sindh
12,0,0,Local - Social Contact,Sindh
2,0,0,Local - Social Contact,Sindh
42,1,0,Tableeghi Jamaat,Sindh
0,0,18,Iran/Taftan,Sindh
8,1,10,Local - Social Contact,Baluchistan
1,0,20,Local - Social Contact,Gilgit-Baltistan
0,0,0,Local - Social Contact,Khyber Pakhtunkhwa
0,1,0,Local - Social Contact,Khyber Pakhtunkhwa
2,1,0,Local - Social Contact,Khyber Pakhtunkhwa
